Unnamed: 0,Datetime,Tweet
0,2015-01-01 23:59:58+00:00,is it just my school that has a group of asian boys that think they own ee or apple with their never ending phone knowledge😭👏💤
1,2015-01-01 23:59:52+00:00,"Grandpa: ""I have an orange---""
Uncle Steve (cutting grandpa off) : ""I have an Apple. Wanna make a fruit salad?"""
2,2015-01-01 23:59:51+00:00,I can't stop having dreams about apple pie 😩🍎
3,2015-01-01 23:59:49+00:00,Told my uncle im staging a mutiny in our house since he got rid of cable for Apple TV.
4,2015-01-01 23:59:27+00:00,Apple bees later on 🙌🙌
5,2015-01-02 23:59:53+00:00,but in allergic to apples
6,2015-01-02 23:59:48+00:00,I hate Apple for not including the option to leave a group chat.
7,2015-01-02 23:59:45+00:00,"Olivia has been begging us to take her to Applebees for dinner. When I asked her why she wanted it she said ""I want to eat apples and bees!"""
8,2015-01-02 23:59:39+00:00,I want an apple
9,2015-01-02 23:59:29+00:00,Apple n Mango is what a live for
10,2015-01-03 23:59:55+00:00,"My daddy gone bring this green apple smirinoff in here like I wasn't gone ask for it talking about ""look how cold it is"" 😒 nigga GTFOH"
11,2015-01-03 23:59:47+00:00,Apple Cider is heaven sent 💕
12,2015-01-03 23:59:14+00:00,Just upgraded to the Sony Xperia z3. Doubt I will ever be going back to apple again! This things one hell of a machine!!
13,2015-01-03 23:59:14+00:00,Hoy apple
14,2015-01-03 23:58:55+00:00,Apple cinnamon bars make me so happy
15,2015-01-04 23:59:57+00:00,playing funbrain in the Apple Store is what the fuck I'm doin
16,2015-01-04 23:59:51+00:00,"Jony Ive (Apple's design Guru) about Xiaomi's product design: ""I think its theft, its lazy"". #GDINews"
17,2015-01-04 23:59:39+00:00,"Fed, done cleaning, now time to shower, relax and sip a green apple beer😍"
18,2015-01-04 23:59:33+00:00,I am currently having a bath so that was ALMOST a really close call goddamn it Apple I hate to love you
19,2015-01-04 23:59:32+00:00,Tweeting all day sure runs down my battery! #iPhone6 #apple #WildcardWeekend
20,2015-01-05 23:59:53+00:00,Apple bees sounds good rn
21,2015-01-05 23:59:53+00:00,So my phone overheated today and melted the case… thanks Apple #iphone #fail #ILikedThatCase #apple
22,2015-01-05 23:59:44+00:00,Apple cider needs to be a year-round thing
23,2015-01-05 23:59:43+00:00,Apple is shit
24,2015-01-05 23:59:42+00:00,"Gargle sme apple cider vinegar w warm water. .""@AddictedToTheP: Sore throat is a mf 😭 especially when you try to swallow!!! Shit hurts man!"""
25,2015-01-06 23:59:53+00:00,It was a dangerously cold Snow Day in the Big Apple. The weather never surpassed NINETEEN degrees. Thank God for coming Home to a warm Crib!
26,2015-01-06 23:59:51+00:00,This apple I'm currently eating taste like actual candy
27,2015-01-06 23:59:42+00:00,Picked up a Castile liquid soap because I wasn't happy with JUST apple cider vinegar instead of shampoo. Testing later. #MCS
28,2015-01-06 23:59:33+00:00,Rush: Apple was first with accessiblity support line. Then Microsoft. Now Verizon opened center.  #CES2015 #a11y
29,2015-01-06 23:59:33+00:00,"Well they say the apple doesn't fall far from the tree, well my trees on a hill..."
30,2015-01-07 23:59:47+00:00,Goodmorning :) #bfast #pancitcanton #boiledegg #friedhotdog #apple #pineapplejuice = #busolved
31,2015-01-07 23:59:47+00:00,"My cinnamon apple, Ya know Ya did me wrong🎧🎧"
32,2015-01-07 23:59:39+00:00,"So... umm... apparently you don't cook the chicken IN apple cider vinegar, you just add a little to it. #whoknew #dinnerfails"
33,2015-01-07 23:59:38+00:00,Went food shopping before. No chicken or fresh stuff. So walked out with croissant Oreos Apple juice and then got a maccies. Heads gone 😂
34,2015-01-07 23:59:31+00:00,"#manspreading because your apple cider, kale and garlic New Years diet makes your breath fucking STINK."
35,2015-01-08 23:59:54+00:00,I just learned that Apple is  featuring THE HONEST TRUTH as one of the “20 Best Books of January” in the iBookstore!!!!!!!
36,2015-01-08 23:59:49+00:00,The three times I've drunk a certain popular Aussie 'real' apple cider I've each been left with a terrible stomach ache. Makes you think....
37,2015-01-08 23:59:35+00:00,Everyone get evil apples
38,2015-01-08 23:59:24+00:00,"Nah, changing the name on the display bezel would be a cost. Not happening (lol at apple still selling the non retina pro)"
39,2015-01-08 23:58:56+00:00,"Granny Smith, Gala '14 apples from Bidart Bros. of Bakersfield, CA recalled, linked to pre-packaged caramel apples listeria outbreak"
40,2015-01-09 23:59:58+00:00,Ariana was sitting in her room on her bed in the murder house. She was reading a book while eating an apple. (@VioletsForever_ )
41,2015-01-09 23:59:53+00:00,Holy crap this new apple MiO flavor is amazing.  *searches around house for vodka*
42,2015-01-09 23:59:51+00:00,"And some other guy online used a rub, apple juice and beer to cook his pulled pork. ( &gt;_&lt;)"
43,2015-01-09 23:59:50+00:00,"I hate when people say things like ""a apple"" it's supposed to be ""an apple"" cus consonant after the vowel to be between 2 vowels dude"
44,2015-01-09 23:59:47+00:00,Not saying I have small hands but I can almost palm an apple.
