negative,neutral,positive,quarter,year
114,230,106,1,2015
94,263,98,2,
92,234,134,3,
80,263,117,4,
96,242,117,1,2016
102,236,117,2,
109,240,111,3,
92,228,140,4,
101,205,144,1,2017
105,218,132,2,
107,223,130,3,
114,217,129,4,
106,200,144,1,2018
116,184,155,2,
115,211,134,3,
98,180,182,4,
117,204,129,1,2019
111,200,144,2,
112,190,158,3,
119,189,152,4,
124,199,132,1,2020
110,182,163,2,
121,195,144,3,
115,205,140,4,
121,170,159,1,2021
118,207,130,2,
101,202,157,3,
82,202,176,4,
116,200,134,1,2022
108,189,158,2,
117,201,142,3,
125,199,136,4,
